# This is the raster of wavelengths at which mock 4MOST HRS observations are returned.
# Source: 4FS ETC

# import numpy as np
# x = np.loadtxt("raster_hrs.txt")
# y = x.transpose()
# y[1][:-1] = np.diff(y[0])
# np.savetxt("raster_hrs_2.txt", y[0:2].transpose())

3.923169743360000211e+03 7.879333999972004676e-02
3.923248536699999931e+03 7.879333000028054812e-02
3.923327330030000212e+03 7.879333999972004676e-02
3.923406123369999932e+03 7.879333000028054812e-02
3.923484916700000213e+03 7.879333999972004676e-02
3.923563710039999933e+03 7.879334000017479411e-02
3.923642503380000107e+03 7.879332999982580077e-02
3.923721296709999933e+03 7.879334000017479411e-02
3.923800090050000108e+03 7.879333999972004676e-02
3.923878883389999828e+03 7.879333000028054812e-02
3.923957676720000109e+03 7.879333999972004676e-02
3.924036470059999829e+03 7.879333000028054812e-02
3.924115263390000109e+03 7.879333999972004676e-02
3.924194056729999829e+03 7.879334000017479411e-02
3.924272850070000004e+03 7.879332999982580077e-02
3.924351643399999830e+03 7.879334000017479411e-02
3.924430436740000005e+03 7.879334000017479411e-02
3.924509230080000179e+03 7.879332999982580077e-02
3.924588023410000005e+03 7.879334000017479411e-02
3.924666816750000180e+03 7.879333999972004676e-02
3.924745610089999900e+03 7.879333000028054812e-02
3.924824403420000181e+03 7.879333999972004676e-02
3.924903196759999901e+03 7.879333000028054812e-02
3.924981990090000181e+03 7.879333999972004676e-02
3.925060783429999901e+03 7.879334000017479411e-02
3.925139576770000076e+03 7.879332999982580077e-02
3.925218370099999902e+03 7.879334000017479411e-02
3.925297163440000077e+03 7.879333999972004676e-02
3.925375956779999797e+03 7.879333000028054812e-02
3.925454750110000077e+03 7.879333999972004676e-02
3.925533543449999797e+03 7.879334000017479411e-02
3.925612336789999972e+03 7.879332999982580077e-02
3.925691130119999798e+03 7.879334000017479411e-02
3.925769923459999973e+03 7.879332999982580077e-02
3.925848716789999798e+03 7.879334000017479411e-02
3.925927510129999973e+03 7.879334000017479411e-02
3.926006303470000148e+03 7.879332999982580077e-02
3.926085096799999974e+03 7.879334000017479411e-02
3.926163890140000149e+03 7.879333999972004676e-02
3.926242683479999869e+03 7.879333000028054812e-02
3.926321476810000149e+03 7.879333999972004676e-02
3.926400270149999869e+03 7.879333000028054812e-02
3.926479063480000150e+03 7.879333999972004676e-02
3.926557856819999870e+03 7.879334000017479411e-02
3.926636650160000045e+03 7.879332999982580077e-02
3.926715443489999871e+03 7.879334000017479411e-02
3.926794236830000045e+03 7.879334000017479411e-02
3.926873030170000220e+03 7.879332999982580077e-02
3.926951823500000046e+03 7.879334000017479411e-02
3.927030616840000221e+03 7.879333999972004676e-02
3.927109410179999941e+03 7.879333000028054812e-02
3.927188203510000221e+03 7.879333999972004676e-02
3.927266996849999941e+03 7.879333000028054812e-02
3.927345790180000222e+03 7.879333999972004676e-02
3.927424583519999942e+03 7.879334000017479411e-02
3.927503376860000117e+03 7.879332999982580077e-02
3.927582170189999943e+03 7.879334000017479411e-02
3.927660963530000117e+03 7.879333999972004676e-02
3.927739756869999837e+03 7.879333000028054812e-02
3.927818550200000118e+03 7.879333999972004676e-02
3.927897343539999838e+03 7.879334000017479411e-02
3.927976136880000013e+03 7.879332999982580077e-02
3.928054930209999839e+03 7.879334000017479411e-02
3.928133723550000013e+03 7.879332999982580077e-02
3.928212516879999839e+03 7.879334000017479411e-02
3.928291310220000014e+03 7.879334000017479411e-02
3.928370103560000189e+03 7.879332999982580077e-02
3.928448896890000015e+03 7.879334000017479411e-02
3.928527690230000189e+03 7.879333999972004676e-02
3.928606483569999909e+03 7.879333000028054812e-02
3.928685276900000190e+03 7.879333999972004676e-02
3.928764070239999910e+03 7.879333000028054812e-02
3.928842863570000191e+03 7.879333999972004676e-02
3.928921656909999911e+03 7.879334000017479411e-02
3.929000450250000085e+03 7.879332999982580077e-02
3.929079243579999911e+03 7.879334000017479411e-02
3.929158036920000086e+03 7.879333999972004676e-02
3.929236830259999806e+03 7.879333000028054812e-02
3.929315623590000087e+03 7.879333999972004676e-02
3.929394416929999807e+03 7.879334000017479411e-02
3.929473210269999981e+03 7.879332999982580077e-02
3.929552003599999807e+03 7.879334000017479411e-02
3.929630796939999982e+03 7.879332999982580077e-02
3.929709590269999808e+03 7.879334000017479411e-02
3.929788383609999983e+03 7.879334000017479411e-02
3.929867176950000157e+03 7.879332999982580077e-02
3.929945970279999983e+03 7.879334000017479411e-02
3.930024763620000158e+03 7.879333999972004676e-02
3.930103556959999878e+03 7.879333000028054812e-02
3.930182350290000159e+03 7.879333999972004676e-02
3.930261143629999879e+03 7.879334000017479411e-02
3.930339936970000053e+03 7.879332999982580077e-02
3.930418730299999879e+03 7.879334000017479411e-02
3.930497523640000054e+03 7.879332999982580077e-02
3.930576316969999880e+03 7.879334000017479411e-02
3.930655110310000055e+03 7.879333999972004676e-02
3.930733903649999775e+03 7.879333000028054812e-02
3.930812696980000055e+03 7.879333999972004676e-02
3.930891490319999775e+03 7.879334000017479411e-02
3.930970283659999950e+03 7.879332999982580077e-02
3.931049076989999776e+03 7.879334000017479411e-02
3.931127870329999951e+03 7.879334000017479411e-02
3.931206663670000125e+03 7.879332999982580077e-02
3.931285456999999951e+03 7.879334000017479411e-02
3.931364250340000126e+03 7.879332999982580077e-02
3.931443043669999952e+03 7.879334000017479411e-02
3.931521837010000127e+03 7.879333999972004676e-02
3.931600630349999847e+03 7.879333000028054812e-02
3.931679423680000127e+03 7.879333999972004676e-02
3.931758217019999847e+03 7.879334000017479411e-02
3.931837010360000022e+03 7.879332999982580077e-02
3.931915803689999848e+03 7.879334000017479411e-02
3.931994597030000023e+03 7.879332999982580077e-02
3.932073390359999848e+03 7.879334000017479411e-02
3.932152183700000023e+03 7.879334000017479411e-02
3.932230977040000198e+03 7.879332999982580077e-02
3.932309770370000024e+03 7.879334000017479411e-02
3.932388563710000199e+03 7.879333999972004676e-02
3.932467357049999919e+03 7.879333000028054812e-02
3.932546150380000199e+03 7.879333999972004676e-02
3.932624943719999919e+03 7.879334000017479411e-02
3.932703737060000094e+03 7.879332999982580077e-02
3.932782530389999920e+03 7.879334000017479411e-02
3.932861323730000095e+03 7.879332999982580077e-02
3.932940117059999920e+03 7.879334000017479411e-02
3.933018910400000095e+03 7.879333999972004676e-02
3.933097703739999815e+03 7.879333000028054812e-02
3.933176497070000096e+03 7.879333999972004676e-02
3.933255290409999816e+03 7.879334000017479411e-02
3.933334083749999991e+03 7.879332999982580077e-02
3.933412877079999816e+03 7.879334000017479411e-02
3.933491670419999991e+03 7.879334000017479411e-02
3.933570463760000166e+03 7.879332999982580077e-02
3.933649257089999992e+03 7.879334000017479411e-02
3.933728050430000167e+03 7.879332999982580077e-02
3.933806843759999992e+03 7.879334000017479411e-02
3.933885637100000167e+03 7.879333999972004676e-02
3.933964430439999887e+03 7.879333000028054812e-02
3.934043223770000168e+03 7.879333999972004676e-02
3.934122017109999888e+03 7.879334000017479411e-02
3.934200810450000063e+03 7.879332999982580077e-02
3.934279603779999889e+03 7.879334000017479411e-02
3.934358397120000063e+03 7.879332999982580077e-02
3.934437190449999889e+03 7.879334000017479411e-02
3.934515983790000064e+03 7.879333999972004676e-02
