# This is the raster of wavelengths at which mock 4MOST LRS observations are returned.
# Source: 4FS ETC

# import numpy as np
# x = np.loadtxt("raster_hrs.txt")
# y = x.transpose()
# y[1][:-1] = np.diff(y[0])
# np.savetxt("raster_hrs_2.txt", y[0:2].transpose())

3.701533304510000107e+03 3.164715200000500772e-01
3.701849776030000157e+03 3.164715200000500772e-01
3.702166247550000207e+03 3.164715199995953299e-01
3.702482719069999803e+03 3.164715200000500772e-01
3.702799190589999853e+03 3.164715200000500772e-01
3.703115662109999903e+03 3.164715200000500772e-01
3.703432133629999953e+03 3.164715200000500772e-01
3.703748605150000003e+03 3.164715200000500772e-01
3.704065076670000053e+03 3.164715200000500772e-01
3.704381548190000103e+03 3.164715200000500772e-01
3.704698019710000153e+03 3.164715200000500772e-01
3.705014491230000203e+03 3.164715199995953299e-01
3.705330962749999799e+03 3.164715200000500772e-01
3.705647434269999849e+03 3.164715200000500772e-01
3.705963905789999899e+03 3.164715200000500772e-01
3.706280377309999949e+03 3.164715200000500772e-01
3.706596848829999999e+03 3.164715200000500772e-01
3.706913320350000049e+03 3.164715200000500772e-01
3.707229791870000099e+03 3.164715200000500772e-01
3.707546263390000149e+03 3.164715200000500772e-01
3.707862734910000199e+03 3.164715199995953299e-01
3.708179206429999795e+03 3.164715200000500772e-01
3.708495677949999845e+03 3.164715200000500772e-01
3.708812149469999895e+03 3.164715200000500772e-01
3.709128620989999945e+03 3.164715200000500772e-01
3.709445092509999995e+03 3.164715200000500772e-01
3.709761564030000045e+03 3.164715200000500772e-01
3.710078035550000095e+03 3.164715200000500772e-01
3.710394507070000145e+03 3.164715200000500772e-01
3.710710978590000195e+03 3.164715199995953299e-01
3.711027450109999791e+03 3.164715200000500772e-01
3.711343921629999841e+03 3.164715200000500772e-01
3.711660393149999891e+03 3.164715200000500772e-01
3.711976864669999941e+03 3.164715200000500772e-01
3.712293336189999991e+03 3.164715200000500772e-01
3.712609807710000041e+03 3.164715200000500772e-01
3.712926279230000091e+03 3.164715200000500772e-01
3.713242750750000141e+03 3.164715099997010839e-01
3.713559222259999842e+03 3.164715200000500772e-01
3.713875693779999892e+03 3.164715200000500772e-01
3.714192165299999942e+03 3.164715200000500772e-01
3.714508636819999992e+03 3.164715200000500772e-01
3.714825108340000043e+03 3.164715200000500772e-01
3.715141579860000093e+03 3.164715200000500772e-01
3.715458051380000143e+03 3.164715200000500772e-01
3.715774522900000193e+03 3.164715199995953299e-01
3.716090994419999788e+03 3.164715200000500772e-01
3.716407465939999838e+03 3.164715200000500772e-01
3.716723937459999888e+03 3.164715200000500772e-01
3.717040408979999938e+03 3.164715200000500772e-01
3.717356880499999988e+03 3.164715200000500772e-01
3.717673352020000038e+03 3.164715200000500772e-01
3.717989823540000089e+03 3.164715200000500772e-01
3.718306295060000139e+03 3.164715200000500772e-01
3.718622766580000189e+03 3.164715199995953299e-01
3.718939238099999784e+03 3.164715200000500772e-01
3.719255709619999834e+03 3.164715200000500772e-01
3.719572181139999884e+03 3.164715200000500772e-01
3.719888652659999934e+03 3.164715200000500772e-01
3.720205124179999984e+03 3.164715200000500772e-01
